material,weight,transport,true_eco_score
Steel,0.86,Air,F
Steel,1.48,Air,C
Glass,0.45,Land,A+
Bamboo,0.76,Air,F
Steel,0.43,Ship,B
Bamboo,1.26,Land,C
Steel,0.33,Air,F
Glass,1.11,Land,C
Glass,0.78,Ship,C
Bamboo,0.96,Air,D
Bamboo,1.49,Land,D
Plastic,1.03,Air,F
Steel,1.22,Land,D
Bamboo,1.46,Air,B
Bamboo,1.19,Land,F
Bamboo,0.86,Land,F
Bamboo,0.94,Land,D
Glass,0.88,Ship,D
Bamboo,1.4,Air,D
Plastic,0.89,Land,C
Glass,0.79,Land,F
Glass,0.3,Land,C
Bamboo,1.05,Air,F
Bamboo,0.54,Ship,F
Steel,0.56,Ship,B
Steel,0.77,Air,F
Bamboo,1.06,Air,B
Bamboo,1.46,Ship,B
Plastic,1.01,Land,B
Plastic,0.8,Ship,D
Plastic,0.45,Land,A
Steel,0.76,Land,A
Bamboo,1.49,Land,B
Plastic,1.49,Air,B
Plastic,0.72,Land,A
Steel,0.33,Land,D
Bamboo,0.66,Ship,F
Steel,0.94,Air,C
Bamboo,0.7,Land,A
Plastic,1.47,Air,D
Glass,0.59,Air,A
Plastic,1.18,Air,C
Plastic,0.67,Land,B
Bamboo,0.36,Air,A
Plastic,0.44,Ship,F
Bamboo,1.09,Ship,B
Plastic,0.85,Air,F
Steel,1.11,Ship,F
Bamboo,1.46,Air,A
Steel,0.41,Air,F
Glass,0.56,Air,F
Steel,1.15,Ship,A+
Glass,0.84,Ship,F
Bamboo,0.84,Ship,B
Glass,0.23,Land,C
Bamboo,0.57,Ship,D
Glass,1.03,Land,D
Steel,1.49,Ship,D
Bamboo,0.56,Ship,A
Plastic,1.34,Air,C
Bamboo,0.74,Ship,C
Steel,0.71,Land,D
Steel,0.57,Ship,F
Bamboo,1.29,Air,D
Steel,0.82,Air,C
Glass,1.46,Land,A+
Glass,0.45,Air,A+
Steel,1.43,Land,D
Glass,0.43,Land,C
Plastic,1.35,Land,A
Steel,0.45,Air,A
Plastic,0.43,Air,F
Plastic,0.93,Land,F
Plastic,0.91,Land,C
Plastic,0.92,Land,D
Plastic,1.04,Land,B
Glass,0.35,Land,D
Steel,0.9,Land,B
Steel,1.17,Air,C
Plastic,0.23,Air,D
Plastic,1.33,Land,A
Glass,0.97,Air,D
Glass,1.41,Ship,D
Bamboo,0.55,Air,F
Steel,1.05,Land,F
Plastic,0.62,Land,D
Bamboo,0.62,Land,A+
Glass,0.42,Land,B
Glass,0.83,Ship,B
Glass,1.06,Ship,C
Plastic,0.85,Land,D
Glass,0.98,Land,B
Bamboo,0.97,Ship,C
Plastic,1.47,Land,C
Glass,0.89,Land,D
Bamboo,1.44,Land,D
Bamboo,0.2,Air,C
Bamboo,1.07,Land,D
Bamboo,1.41,Air,B
Steel,1.5,Land,C
Bamboo,0.87,Land,D
Glass,1.03,Air,C
Glass,0.32,Air,B
Plastic,0.3,Land,B
Steel,0.47,Air,C
Glass,1.15,Air,C
Glass,0.36,Ship,A
Steel,1.22,Ship,A
Steel,0.72,Ship,B
Steel,0.48,Land,D
Plastic,1.09,Ship,A
Glass,0.69,Air,F
Plastic,1.35,Land,F
Steel,0.65,Air,B
Glass,0.56,Air,D
Glass,0.76,Air,B
Steel,1.44,Ship,C
Plastic,1.01,Air,B
Steel,1.0,Ship,C
Steel,0.31,Air,C
Plastic,0.25,Ship,C
Steel,1.38,Air,C
Plastic,1.06,Ship,D
Bamboo,0.71,Land,F
Bamboo,1.08,Air,F
Glass,0.22,Air,F
Plastic,0.67,Air,A
Steel,0.58,Land,C
Glass,0.79,Air,D
Glass,0.81,Ship,C
Steel,1.46,Air,C
Bamboo,1.17,Ship,D
Glass,0.87,Land,B
Glass,0.65,Land,F
Steel,1.47,Land,A
Steel,0.52,Land,C
Steel,0.99,Air,A
Plastic,1.28,Air,C
Glass,1.01,Air,D
Bamboo,1.47,Land,B
Steel,0.86,Land,C
Glass,0.93,Air,D
Bamboo,0.36,Land,B
Bamboo,0.45,Air,B
Glass,1.36,Land,A+
Steel,1.03,Ship,A+
Plastic,1.11,Ship,F
Steel,0.54,Air,D
Steel,1.03,Air,A
Plastic,1.38,Ship,C
Steel,1.32,Land,C
Bamboo,0.39,Land,B
Glass,1.26,Land,F
Glass,1.36,Land,F
Steel,0.65,Air,A
Bamboo,0.84,Air,C
Plastic,1.5,Air,A+
Bamboo,1.25,Ship,D
Bamboo,0.61,Ship,F
Glass,0.34,Ship,A
Bamboo,0.74,Air,D
Steel,1.04,Ship,B
Glass,1.35,Ship,C
Glass,0.66,Air,F
Bamboo,1.16,Air,D
Glass,1.18,Ship,C
Glass,1.27,Air,C
Bamboo,1.26,Land,A
Plastic,1.11,Air,F
Steel,0.41,Air,C
Bamboo,1.01,Air,F
Plastic,1.49,Land,F
Bamboo,0.57,Air,C
Bamboo,0.78,Ship,D
Glass,1.4,Ship,A
Steel,0.55,Ship,F
Plastic,0.7,Air,D
Plastic,1.14,Ship,B
Plastic,1.25,Land,C
Glass,1.28,Air,F
Glass,0.78,Ship,C
Glass,1.14,Ship,F
Steel,1.44,Ship,D
Plastic,1.04,Air,D
Plastic,0.78,Air,D
Steel,0.97,Air,F
Steel,1.27,Land,F
Glass,0.41,Ship,F
Steel,0.26,Air,B
Steel,0.21,Ship,F
Bamboo,0.64,Ship,C
Bamboo,1.35,Land,B
Plastic,0.39,Ship,D
Steel,1.09,Air,F
Bamboo,1.2,Land,C
Steel,0.21,Air,B
Glass,1.18,Land,F
Bamboo,1.0,Ship,B
Plastic,0.68,Ship,D
Glass,0.55,Land,C
Bamboo,1.19,Land,F
Glass,0.3,Air,A+
Steel,0.34,Land,A
Steel,1.06,Land,F
Plastic,1.03,Ship,F
Steel,0.59,Ship,A
Plastic,1.19,Ship,A+
Glass,0.32,Air,F
Glass,1.26,Land,C
Plastic,0.58,Air,D
Steel,0.21,Air,A+
Bamboo,0.52,Air,D
Plastic,0.59,Land,D
Glass,1.21,Land,C
Plastic,1.19,Air,C
Steel,0.5,Land,A
Bamboo,0.81,Ship,A
Steel,0.77,Ship,F
Glass,1.3,Land,C
Bamboo,0.41,Air,B
Bamboo,1.05,Ship,F
Plastic,0.7,Ship,F
Plastic,1.3,Ship,C
Steel,0.93,Ship,C
Plastic,1.14,Land,A
Plastic,0.89,Ship,F
Plastic,0.21,Ship,A
Glass,0.34,Ship,C
Bamboo,0.7,Air,F
Glass,0.87,Air,D
Steel,1.44,Air,F
Steel,1.12,Ship,B
Glass,0.5,Land,B
Glass,0.43,Land,B
Plastic,1.14,Air,C
Bamboo,0.43,Ship,A
Glass,0.82,Air,F
Plastic,0.73,Ship,B
Steel,1.18,Air,F
Steel,0.44,Land,F
Bamboo,1.3,Land,A
Bamboo,1.38,Ship,B
Steel,0.84,Land,D
Steel,0.3,Land,D
Steel,1.29,Ship,F
Steel,1.25,Air,C
Bamboo,0.84,Ship,A
Glass,0.85,Ship,C
Bamboo,0.45,Air,F
Plastic,1.33,Land,D
Glass,1.13,Land,F
Bamboo,1.03,Air,B
Steel,0.68,Ship,F
Bamboo,1.3,Land,F
Steel,1.03,Air,A
Glass,0.58,Land,C
Glass,1.48,Land,F
Steel,1.44,Ship,D
Steel,0.73,Ship,D
Steel,0.76,Air,F
Plastic,0.89,Land,C
Bamboo,1.26,Land,B
Steel,0.54,Land,D
Glass,1.36,Air,D
Bamboo,0.99,Land,F
Steel,0.24,Air,D
Plastic,1.48,Ship,C
Glass,1.38,Air,D
Bamboo,1.24,Air,D
Steel,0.33,Ship,C
Steel,1.21,Land,B
Plastic,0.92,Air,D
Plastic,0.46,Air,D
Steel,0.69,Air,C
Bamboo,0.65,Air,C
Plastic,0.64,Land,F
Steel,0.83,Air,C
Bamboo,1.24,Ship,D
Steel,0.55,Air,C
Glass,0.49,Land,D
Bamboo,0.62,Ship,B
Steel,0.32,Land,F
Steel,0.67,Air,B
Plastic,1.31,Ship,D
Plastic,1.43,Air,C
Steel,0.78,Ship,A
Steel,1.16,Land,A
Glass,1.08,Ship,A
Glass,0.73,Land,D
Plastic,1.36,Land,D
Bamboo,0.92,Air,A+
Glass,0.73,Air,C
Steel,0.36,Ship,D
Steel,1.45,Air,F
Bamboo,1.03,Ship,F
Bamboo,1.42,Ship,D
Plastic,0.95,Ship,A+
Plastic,0.66,Ship,A+
Steel,0.37,Ship,D
Glass,1.41,Air,C
Glass,1.12,Air,B
Plastic,0.57,Land,F
Bamboo,0.23,Land,D
Plastic,0.86,Ship,F
Steel,0.29,Ship,A+
Steel,0.32,Ship,C
Steel,0.24,Ship,D
Glass,1.24,Ship,B
Plastic,0.56,Ship,D
Steel,0.95,Air,B
Steel,1.19,Ship,D
Bamboo,0.21,Ship,D
Plastic,0.35,Land,C
Bamboo,0.97,Air,F
Plastic,1.4,Land,A+
Plastic,0.33,Air,B
Glass,0.96,Air,B
Bamboo,1.36,Land,C
Bamboo,0.71,Ship,C
Bamboo,0.26,Land,F
Steel,0.23,Air,A
Steel,0.46,Land,F
Glass,0.68,Ship,B
Steel,0.72,Ship,D
Bamboo,1.28,Air,D
Plastic,0.97,Land,F
Steel,0.69,Air,C
Plastic,0.24,Ship,C
Steel,0.64,Ship,A
Plastic,0.64,Ship,C
Glass,0.37,Ship,D
Bamboo,0.37,Air,D
Plastic,1.5,Ship,D
Glass,1.14,Air,C
Steel,0.86,Land,F
Plastic,1.19,Air,C
Steel,0.51,Land,D
Plastic,0.63,Land,B
Glass,0.44,Ship,A
Steel,0.53,Ship,D
Plastic,1.11,Ship,B
Plastic,0.72,Ship,A
Bamboo,0.77,Land,C
Plastic,0.56,Air,F
Plastic,0.46,Ship,B
Glass,0.53,Air,D
Steel,1.09,Ship,F
Plastic,1.49,Ship,C
Steel,0.8,Ship,A
Bamboo,1.28,Land,A
Plastic,1.01,Land,C
Steel,0.85,Land,B
Plastic,0.49,Ship,A
Steel,1.29,Ship,C
Glass,0.52,Ship,F
Glass,0.69,Ship,D
Bamboo,1.29,Air,C
Plastic,1.05,Air,C
Bamboo,0.98,Land,A+
Steel,0.37,Land,F
Bamboo,1.14,Land,D
Bamboo,1.05,Ship,A
Steel,0.34,Ship,D
Plastic,1.09,Land,B
Plastic,0.43,Ship,F
Plastic,1.08,Ship,D
Plastic,0.35,Ship,C
Steel,1.33,Ship,C
Steel,1.14,Land,F
Steel,0.84,Air,D
Glass,0.77,Ship,C
Plastic,1.24,Ship,A
Bamboo,0.74,Air,F
Glass,1.2,Air,A
Bamboo,1.22,Ship,D
Glass,1.24,Air,F
Plastic,0.65,Land,D
Bamboo,0.45,Land,A
Plastic,0.5,Air,D
Bamboo,0.7,Air,F
Steel,0.87,Air,C
Glass,1.13,Air,A
Glass,0.94,Land,A+
Glass,0.56,Air,C
Bamboo,0.85,Land,D
Steel,0.57,Air,F
Glass,0.99,Ship,D
Bamboo,0.41,Air,B
Bamboo,1.11,Air,D
Steel,1.07,Land,C
Plastic,0.89,Land,C
Glass,0.36,Ship,F
Plastic,0.46,Land,A
Bamboo,1.06,Air,C
Glass,1.34,Ship,F
Bamboo,0.4,Ship,C
Bamboo,0.4,Air,A
Glass,0.48,Ship,F
Plastic,1.02,Land,F
Glass,1.05,Ship,D
Plastic,0.63,Ship,C
Glass,1.28,Land,D
Plastic,0.69,Land,B
Bamboo,1.02,Ship,F
Steel,0.89,Land,F
Glass,0.29,Air,F
Plastic,0.76,Ship,D
Steel,0.97,Air,C
Steel,1.17,Ship,A
Plastic,0.74,Ship,D
Bamboo,1.06,Land,A
Bamboo,1.08,Land,D
Glass,1.43,Ship,A
Bamboo,1.33,Air,F
Glass,0.68,Air,F
Bamboo,0.56,Air,F
Bamboo,0.26,Air,C
Glass,1.35,Land,F
Plastic,1.4,Ship,C
Plastic,1.07,Ship,F
Plastic,0.38,Ship,B
Glass,1.5,Land,B
Bamboo,0.75,Air,B
Steel,0.84,Air,D
Bamboo,0.37,Land,A
Bamboo,0.91,Ship,C
Glass,0.51,Ship,F
Steel,0.76,Ship,F
Plastic,1.2,Ship,D
Glass,0.79,Ship,C
Bamboo,1.17,Air,A
Bamboo,1.3,Air,F
Steel,0.91,Land,D
Steel,0.71,Air,A
Glass,0.57,Land,C
Plastic,0.51,Air,B
Bamboo,0.2,Air,C
Bamboo,1.37,Ship,A+
Steel,0.65,Ship,D
Glass,0.92,Land,A
Plastic,0.64,Air,F
Steel,0.3,Air,F
Glass,1.12,Air,B
Glass,0.76,Ship,D
Plastic,0.49,Land,F
Plastic,1.5,Ship,B
Glass,1.1,Land,C
Steel,0.81,Air,F
Glass,0.73,Air,D
Bamboo,0.28,Air,C
Steel,0.81,Land,A+
Bamboo,0.68,Ship,F
Steel,1.15,Land,C
Glass,0.29,Land,C
Plastic,1.44,Air,A+
Steel,0.76,Land,A
Bamboo,1.04,Ship,D
Glass,1.31,Ship,F
Bamboo,0.48,Land,C
Steel,0.67,Land,A
Bamboo,0.23,Air,D
Plastic,1.47,Land,F
Bamboo,0.68,Ship,B
Plastic,0.37,Ship,A
Glass,1.33,Land,B
Bamboo,0.64,Air,B
Glass,0.79,Air,D
Glass,1.05,Air,C
Steel,1.44,Ship,F
Plastic,0.53,Air,C
Plastic,0.48,Ship,C
Glass,1.49,Land,F
Bamboo,0.41,Air,B
Plastic,0.93,Ship,A
Plastic,0.95,Air,B
Glass,1.46,Ship,D
Glass,1.08,Air,A+
Bamboo,1.49,Ship,A
Bamboo,0.62,Land,F
Bamboo,0.85,Land,A
Bamboo,0.9,Ship,C
Plastic,0.78,Ship,C
Glass,1.26,Ship,D
Glass,0.97,Air,B
Plastic,0.39,Ship,A+
Glass,1.17,Air,A
Steel,1.45,Land,F
Bamboo,0.78,Land,D
Glass,0.37,Ship,C
Bamboo,1.02,Ship,C
Steel,0.5,Ship,D
Steel,0.36,Air,D
Steel,0.64,Air,A
Bamboo,0.72,Ship,C
Plastic,0.32,Land,F
Bamboo,0.64,Air,F
Glass,0.83,Air,C
Plastic,0.65,Land,F
Bamboo,0.66,Land,A+
Bamboo,0.62,Air,D
Steel,1.31,Land,D
Plastic,0.52,Air,F
Plastic,0.39,Air,C
Plastic,0.33,Air,D
Glass,1.13,Land,F
Plastic,1.19,Land,B
Plastic,0.43,Air,F
Bamboo,0.28,Land,B
Bamboo,0.3,Land,C
Bamboo,1.08,Land,B
Steel,1.48,Ship,F
Bamboo,0.81,Air,F
Plastic,0.45,Air,A+
Bamboo,1.35,Land,F
Glass,0.76,Air,A
Glass,1.18,Ship,D
Bamboo,1.38,Air,C
Bamboo,1.16,Air,D
Glass,0.9,Land,C
Steel,0.9,Land,D
Steel,0.88,Air,C
Plastic,0.58,Air,C
Glass,0.26,Air,C
Glass,0.52,Air,B
Steel,0.55,Ship,D
Bamboo,0.92,Air,C
Plastic,0.87,Air,C
Plastic,1.29,Air,B
Glass,1.29,Air,D
Steel,1.0,Air,D
Bamboo,0.25,Ship,F
Steel,0.89,Air,C
Steel,0.57,Ship,D
Steel,0.91,Air,D
Glass,1.37,Ship,F
Plastic,1.23,Ship,C
Glass,1.35,Land,D
Plastic,0.47,Air,C
Glass,1.13,Ship,C
Glass,0.42,Land,C
Steel,0.54,Ship,C
Bamboo,1.39,Ship,F
Steel,1.34,Air,D
Glass,1.28,Air,A+
Plastic,0.7,Land,A
Steel,0.48,Ship,A
Steel,1.07,Ship,A
Steel,1.08,Air,F
Glass,1.24,Air,A
Bamboo,1.43,Air,B
Glass,0.33,Land,A
Glass,1.05,Ship,F
Steel,1.19,Air,F
Plastic,0.89,Ship,D
Glass,1.41,Ship,C
Bamboo,0.64,Ship,A+
Bamboo,0.27,Air,C
Steel,0.39,Ship,A
Bamboo,0.64,Ship,A
Steel,0.79,Land,C
Glass,0.62,Land,F
Bamboo,0.49,Land,C
Bamboo,0.62,Land,A+
Glass,1.25,Air,C
Plastic,1.16,Land,D
Steel,0.67,Air,B
Plastic,0.56,Ship,C
Steel,0.48,Air,A
Glass,0.94,Ship,F
Glass,1.32,Air,D
Plastic,1.01,Ship,C
Bamboo,1.13,Land,C
Steel,0.71,Land,B
Steel,0.88,Land,D
Steel,0.43,Land,B
Glass,0.45,Ship,A
Bamboo,1.38,Land,A
Glass,0.41,Air,F
Glass,0.96,Air,B
Glass,0.61,Air,B
Plastic,0.94,Ship,A
Bamboo,0.75,Ship,D
Bamboo,1.38,Ship,C
Plastic,1.08,Air,D
Bamboo,0.46,Air,D
Steel,0.87,Air,A+
Plastic,1.39,Ship,A+
Steel,0.57,Land,B
Steel,0.89,Ship,B
Plastic,0.23,Ship,F
Plastic,0.37,Air,B
Steel,0.99,Land,D
Plastic,0.96,Air,C
Glass,1.45,Land,F
Glass,0.25,Ship,D
Glass,0.59,Air,D
Steel,0.51,Land,C
Bamboo,0.38,Land,D
Steel,1.49,Ship,A
Steel,1.02,Air,D
Glass,0.58,Land,F
Bamboo,0.44,Ship,C
Plastic,0.74,Air,F
Steel,1.43,Air,F
Glass,0.34,Air,C
Glass,1.35,Air,C
Bamboo,1.04,Air,B
Bamboo,1.43,Air,A+
Bamboo,0.21,Land,F
Glass,0.49,Ship,A
Steel,0.61,Ship,A
Bamboo,0.32,Land,F
Bamboo,1.39,Ship,D
